platform,video_title,video_url,author,content,comment_id,likes,time_parsed,video_transcript,scraped_at
YouTube,4 Wedding Mistakes & How NOT To Make Them | Featuring Wedding Wear Outfits | Shop Now #shorts,https://www.youtube.com/watch?v=gsB77MWpbwM,@sarojtmg9629,❤👌👏,Ugxs3v_wP9a_g8e5P_14AaABAg,1,1724233793.451553,Transcript not available,2026-08-21T15:19:53.451866
YouTube,4 Wedding Mistakes & How NOT To Make Them | Featuring Wedding Wear Outfits | Shop Now #shorts,https://www.youtube.com/watch?v=gsB77MWpbwM,@Dailytalkswithdeepa,Veri nice❤❤,UgzrxiU1_TCvSDLJ0gR4AaABAg,1,1724233793.455217,Transcript not available,2026-08-21T15:19:53.455515
YouTube,3 Footwear Hacks For The Festive & Party Season | Lifechanging Footwear Tricks | Shop Now #Shorts,https://www.youtube.com/watch?v=THY8RhmxbUE,@danieleantognelli886,❤❤,UgzclIE9pqlgwj4znhB4AaABAg,0,1724233810.849291,Transcript not available,2026-08-21T15:20:10.849425
YouTube,3 Footwear Hacks For The Festive & Party Season | Lifechanging Footwear Tricks | Shop Now #Shorts,https://www.youtube.com/watch?v=THY8RhmxbUE,@abrahamduplooy334,You have beautiful toes ❤❤,Ugw5QxqebH-svnUY-G94AaABAg,0,1724233810.850538,Transcript not available,2026-08-21T15:20:10.850628
YouTube,How To Style A Simple Outfit | The Power Of Styling- Casual Day Out Look | Shop Now #shorts,https://www.youtube.com/watch?v=VqE89l_djiU,@Mimansasahuu,@mimansasahu ❤️,UgxP-MW8AZ1vRZ4NDb14AaABAg,0,1724233821.912325,Transcript not available,2026-08-21T15:20:21.912459
YouTube,3 Styles Perfect For A Pear Shaped Body | Outfits That Suit Your Body Type | Shop Now #Shorts,https://www.youtube.com/watch?v=WYYMR0-K7Vk,@archispallate,Fake company. They send empty box and after that they will deny that they will not refund your money. Dont shop from nykaa fashion. Fraud company. Your company will be cursed soon.,UgzRTAl4seEWxkzBcqx4AaABAg,0,1724233857.99863,Transcript not available,2026-08-21T15:20:57.998946
YouTube,3 Styles Perfect For A Pear Shaped Body | Outfits That Suit Your Body Type | Shop Now #Shorts,https://www.youtube.com/watch?v=WYYMR0-K7Vk,@archispallate,Fake company. They send empty box and after that they will deny that they will not refund your money. Dont shop from nykaa fashion. Fraud company. Your company will be cursed soon.,UgzRTAl4seEWxkzBcqx4AaABAg.9vvKKMuUmdL9vvKNYC2NrX,0,1724233858.553895,Transcript not available,2026-08-21T15:20:58.554203
YouTube,What To Wear If You Want To Cover Your Arms | 4 Outfit Ideas | Style Guide | Shop Now #shorts,https://www.youtube.com/watch?v=42NXIUAyvdw,@GOT.UJJWAL.7,🥶,UgzXX37-rqmCa2LhbqB4AaABAg,0,1786096278.772773,Transcript not available,2026-08-21T15:21:18.772896
YouTube,What To Wear If You Want To Cover Your Arms | 4 Outfit Ideas | Style Guide | Shop Now #shorts,https://www.youtube.com/watch?v=42NXIUAyvdw,@GOT.UJJWAL.7,🎉,UgzXX37-rqmCa2LhbqB4AaABAg.A_0-h0KsTJfA_0-m19PG2o,0,1786096279.166503,Transcript not available,2026-08-21T15:21:19.166807
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@BorewellAnit,ഗുരുവായൂർ തന്ത്രി വത്സൻ അടിച്ചോണ്ട് വെളുപ്പിന് 4 അരക്ക് ഇരിക്കുവാ. അപ്പൊ sachin tendulkar വിളിച്ചു ഉച്ചക്ക് sara tendulkar ടെ പൂറിൽ പാൽപായസം ഹോമം നടത്തി ശേഷം. ഇനി ചോറ് ഉണ്ണാൻ പോവാ. ചിത്ത വിളി കഴിഞ്ഞു,Ugzhd6AW2tMXFM0vn_h4AaABAg,0,1784627491.007361,Transcript not available,2026-08-21T15:21:31.007491
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@ambujasriramakavacham9355,J,UgxH8-KzNBi2nwP8MUZ4AaABAg,0,1782035491.009074,Transcript not available,2026-08-21T15:21:31.009181
YouTube,What Underwear To Wear Under Your Festive Wear | 4 Bra Styles For Tricky Outfits | Shop Now #Shorts,https://www.youtube.com/watch?v=6c3fiblChzc,@mohakmilindsingh999,👙,Ugwv0RxoZ4dJtPPC88B4AaABAg,1,1779357091.010763,Transcript not available,2026-08-21T15:21:31.010870
