platform,id,comment_id,author,video_title,video_url,content,likes,time_parsed,created_at,video_transcript,scraped_at
YouTube,Ugy4kqohu6d9iIRk9H14AaABAg,Ugy4kqohu6d9iIRk9H14AaABAg,@AnuskaNath-22,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"Caught within a minute ❤ love from Kolkata sonia di , pls come here onceeee",0,1761899677.816658,2025-10-31T14:04:37.816658,Transcript not available,2026-08-31T14:04:37.974886
YouTube,Ugy9WemWnWI89Kq1Vxt4AaABAg,Ugy9WemWnWI89Kq1Vxt4AaABAg,@GlowwithNoor9,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Back with another video alots of luv for u❤,5,1761899677.820899,2025-10-31T14:04:37.820899,Transcript not available,2026-08-31T14:04:37.974910
YouTube,Ugx1Hu3kTOpreyOOLwl4AaABAg,Ugx1Hu3kTOpreyOOLwl4AaABAg,@food-p1d4u,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Caught u in 26 seconds cuz I am addicted to this channel love from Nepal ♥️♥️,1,1761899677.824356,2025-10-31T14:04:37.824356,Transcript not available,2026-08-31T14:04:37.974946
YouTube,UgyayzR23MgTQFr1KRd4AaABAg,UgyayzR23MgTQFr1KRd4AaABAg,@padmavathikrishnappa6859,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,1st view and 1st comment 😅,0,1761899677.828633,2025-10-31T14:04:37.828633,Transcript not available,2026-08-31T14:04:37.974964
YouTube,UgwLlxU23ECDLQMDVoF4AaABAg,UgwLlxU23ECDLQMDVoF4AaABAg,@nikitabedre4821,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Miss u sonia di 💕🥺,0,1761899677.833379,2025-10-31T14:04:37.833379,Transcript not available,2026-08-31T14:04:37.974979
YouTube,UgzY2GKx5ns5dpJj9-J4AaABAg,UgzY2GKx5ns5dpJj9-J4AaABAg,@miss_collarbone,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,Omg first like first comment 🎉,0,1761899677.846647,2025-10-31T14:04:37.846647,Transcript not available,2026-08-31T14:04:37.975002
YouTube,UgxitcOR0DamzNkhL6t4AaABAg,UgxitcOR0DamzNkhL6t4AaABAg,@Riyadailyvlogs01,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,First comment 😍,0,1761899677.851125,2025-10-31T14:04:37.851125,Transcript not available,2026-08-31T14:04:37.975014
YouTube,UgwuIhH2AjSn7oQFmDZ4AaABAg,UgwuIhH2AjSn7oQFmDZ4AaABAg,@chinmayichinnu2231,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,1st comment reply plzz didi ❤,0,1761899677.855686,2025-10-31T14:04:37.855686,Transcript not available,2026-08-31T14:04:37.975033
YouTube,UgzB8XpFIQCeHfXNE-d4AaABAg,UgzB8XpFIQCeHfXNE-d4AaABAg,@amhsa8488,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,♥️♥️♥️,0,1761899677.859746,2025-10-31T14:04:37.859746,Transcript not available,2026-08-31T14:04:37.975041
YouTube,UgwhPleQwBIf5J7DrE14AaABAg,UgwhPleQwBIf5J7DrE14AaABAg,@poojaprajapathi1574,Trying Unique Beauty Products from My Subscriber's Wishlist 😍 | Are They Worth it?,https://www.youtube.com/watch?v=5fk8a9QDnzI,"First one 🎉❤❤❤
Love your video's ❤",1,1761899677.865916,2025-10-31T14:04:37.865916,Transcript not available,2026-08-31T14:04:37.975077
YouTube,UgxlbjONED2uKZUqL8p4AaABAg,UgxlbjONED2uKZUqL8p4AaABAg,@Kushi-vm8lk,"Nykaa Pink Summer Sale 2025 Recommendations💸😍Upto 60% OFF😱|Best Makeup,Skincare,Bodycare,Perfume",https://www.youtube.com/watch?v=VKk020SxStQ,Bellavita perfume mera bhi favourite hai 😍😍😍,1,1756629603.565467,2025-08-31T14:10:03.565467,Transcript not available,2026-08-31T14:10:03.679562
YouTube,UgzZg6-1H64DBiYz6ER4AaABAg,UgzZg6-1H64DBiYz6ER4AaABAg,@Suniti_Singh,“I Spent ₹6000 on Nykaa Sale…🫣Was It Worth It?! 💸 | Honest Haul”🤯,https://www.youtube.com/watch?v=fdQrcYC9v-o,So far Elf is my favourite brand ❤😍,0,1756629607.437059,2025-08-31T14:10:07.437059,Transcript not available,2026-08-31T14:10:08.643604
YouTube,Ugzw70uziUnHncSoS-R4AaABAg,Ugzw70uziUnHncSoS-R4AaABAg,@radhika5768,Purchased My Wishlist Products from Nykaa Pink Friday sale #nykaapinkfridaysale #nykaa,https://www.youtube.com/watch?v=NIEHEcNJwRY,BB or cc cream se makeup kala ho jata h kya lgate h jisse kala na pde,0,1756629607.423625,2025-08-31T14:10:07.423625,Transcript not available,2026-08-31T14:10:08.646213
YouTube,UgzbPlxFuIfL8FRL-1h4AaABAg,UgzbPlxFuIfL8FRL-1h4AaABAg,@nishanishu6607,Purchased My Wishlist Products from Nykaa Pink Friday sale #nykaapinkfridaysale #nykaa,https://www.youtube.com/watch?v=NIEHEcNJwRY,Thank you for the review..!!❤❤❤,0,1756629607.434582,2025-08-31T14:10:07.434582,Transcript not available,2026-08-31T14:10:08.646255
YouTube,Ugzw70uziUnHncSoS-R4AaABAg.AF7E6JLXwfuAF7q8kkZ1tS,Ugzw70uziUnHncSoS-R4AaABAg.AF7E6JLXwfuAF7q8kkZ1tS,@neha.sharma234,Purchased My Wishlist Products from Nykaa Pink Friday sale #nykaapinkfridaysale #nykaa,https://www.youtube.com/watch?v=NIEHEcNJwRY,"Color correction karni padti  hai for kala nahi hota 
Cc or bb ka coverage kum hota hai aur agar aap apki skin color se light shade use karte hai toh woh see through hone ki wajah se kala lagta hai",0,1756629608.538114,2025-08-31T14:10:08.538114,Transcript not available,2026-08-31T14:10:08.646390
YouTube,Ugze-Xa8kievw_DC10F4AaABAg,Ugze-Xa8kievw_DC10F4AaABAg,@Riya_Shah,"Nykaa Hot Pink Sale 2025 🛍️ | My Favourites, Tips & What to Buy Before It’s Gone!",https://www.youtube.com/watch?v=Ou85clMWXzg,Which product do you want me to try next?❤,0,1756629616.557598,2025-08-31T14:10:16.557598,Transcript not available,2026-08-31T14:10:20.795628
YouTube,Ugy8YRowso_A8PNUX1h4AaABAg,Ugy8YRowso_A8PNUX1h4AaABAg,@SangamBharti-n7c,"Nykaa Hot Pink Sale 2025 🛍️ | My Favourites, Tips & What to Buy Before It’s Gone!",https://www.youtube.com/watch?v=Ou85clMWXzg,Di aap e ye kurti kaha se buy ki h please reply di,1,1756629616.569808,2025-08-31T14:10:16.569808,Transcript not available,2026-08-31T14:10:20.795691
YouTube,UgwsJILmehcbZi8pKqJ4AaABAg,UgwsJILmehcbZi8pKqJ4AaABAg,@prittiishahvlogs,"Nykaa Hot Pink Sale 2025 🛍️ | My Favourites, Tips & What to Buy Before It’s Gone!",https://www.youtube.com/watch?v=Ou85clMWXzg,Sahi h tumane bata diya 😊,1,1756629616.572889,2025-08-31T14:10:16.572889,Transcript not available,2026-08-31T14:10:20.795727
YouTube,UgwvBgVERDOVWokd-9V4AaABAg,UgwvBgVERDOVWokd-9V4AaABAg,@Piyushupreti06,"Nykaa Hot Pink Sale 2025 🛍️ | My Favourites, Tips & What to Buy Before It’s Gone!",https://www.youtube.com/watch?v=Ou85clMWXzg,Looking this video while all the body care I’ve ever used is a lifebuoy ka sabun. Good going ❤😂,1,1756629616.574933,2025-08-31T14:10:16.574933,Transcript not available,2026-08-31T14:10:20.795804
YouTube,UgzUSeUYMBiJsldYlJ14AaABAg,UgzUSeUYMBiJsldYlJ14AaABAg,@flyingbravogamer4539,"Nykaa Hot Pink Sale 2025 🛍️ | My Favourites, Tips & What to Buy Before It’s Gone!",https://www.youtube.com/watch?v=Ou85clMWXzg,Lakme or Maybelline which one should i take,1,1756629616.576993,2025-08-31T14:10:16.576993,Transcript not available,2026-08-31T14:10:20.795839
YouTube,UgwqWbcTgwdVjuq1WWl4AaABAg,UgwqWbcTgwdVjuq1WWl4AaABAg,@Anushka1234-f5i,"Nykaa Hot Pink Sale 2025 🛍️ | My Favourites, Tips & What to Buy Before It’s Gone!",https://www.youtube.com/watch?v=Ou85clMWXzg,Pinky ponky 🫧💗,1,1756629616.578942,2025-08-31T14:10:16.578942,Transcript not available,2026-08-31T14:10:20.795861
